Checked	Common_name	Code	Date_received	Location.x	Region	Ocean	Cause_of_death	What	Info_sent	Extracted	Info_requested	Other_info	Archiving_info	scrubbed_uoa_code	reconciled_alternate_code	UoA_Code	Species_subspecies	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB	reconciliation_notes	pathology_code	hologenome_region	collection_date_mod	broad_location	review
NA	Hector's dolphin	CheWC11	NA	Karoro near Greymouth	West Coast	Tasman	NA	NA	NA	NA	NA	NA	No data available. No H code. Eneterd to the database by Sahar. Probably the same as CheTi12 (H28). Massey code: None	CHEWC011	NA	CheWC011	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9588	NA	M	J	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI West Coast	11-Aug-1995	Greymouth	OK
NA	Hector's dolphin	CheWC16	NA	Greymouth, Paroa	West Coast	Tasman	NA	NA	NA	NA	NA	Contact Massey University for measurements.	Three samples, two discarded.	CHEWC016	NA	CheWC016	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Unknown	NA	NA	NA	WC20-12	NA	NA	NA	NA	F	J	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI West Coast	20-Dec-1995	Greymouth	OK
NA	Hector's dolphin	CheWC21	NA	Greymouth, Taramakau River Mouth NZMS J32 2355858473	West Coast	Tasman	NA	NA	NA	No	NA	TL = 141cm	NA	CHEWC021	NA	CheWC021	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	CETOS 9697	NA	F	J	5	no	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI West Coast	16-Sep-1995	Greymouth	OK
NA	Hector's dolphin	CheWC22	NA	Greymouth	West Coast	Tasman	NA	NA	NA	No	NA	TL=152cmBadly decomposedPhotos: yesTwo samples dated 12/1/2015 but not indicated which one belongs to U15-005 and U15-006	NA	CHEWC022	NA	CheWC022	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	WS97.58	NA	NA	NA	M	J	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;collection_date_mod taken from DOC_Massey database because no date information available in NZCETA	NA	SI West Coast	1997	Greymouth	OK
Yes	Hector's dolphin	CheWC03-04	NA	Buller	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesreported caught in gillnetalternate code = CETOS 9691	NA	CHEWC03-04	NA	CheWC03-04	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Jb	2	no	no	"NA"	NA	SI West Coast	31-Nov-2003	Buller	OK
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHEWC03-05	NA	CheWC03-05	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T	2	no	no	Subspecies designation based on location	NA	NA	2-May-2007	NA	OK
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHEWC132	NA	CheWC132	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	WCKaro	NA	NA	NA	NA	NA	I	0	no	no	Subspecies designation based on location	NA	NA	1992	NA	OK
Yes	Uncertain	CheWP??	NA	NA	NA	NA	NA	NA	NA	No	NA	TL 136 cm	NA	CHEWP??	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	NA	NA	23-Nov-1999	NA	OK
NA	Maui dolphin	KTUW 1, 2, 3	NA	Manukau Harbour, Auckland	Auckland	Tasman	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS04	NA	KTUW	NA	NA	Cephalorhynchus hectori maui	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	Maui	6-Nov-1997	Auckland	OK
Yes	Hector's dolphin	U12-091	Oct-12	NA	Buller	Tasman	NA	NA	NA	No	NA	1 of 3 animals, samples from 2 held, third went straight to MUCIC	NA	U12-091	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	27-Sep-2012	Buller	OK
Yes	Hector's dolphin	U13-018 ( H239-13)	Apr-13	Takutai Beach, south of Hokitika	Hokitika	Tasman	NA	NA	NA	No	NA	1 of 3 animals, samples from 2 held, third went straight to MUCIC	NA	U13-018	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	4-Apr-2013	Hokitika	OK
Yes	Hector's dolphin	U13-033 (H241-13)	NA	South Bay ,Timaru	Canterbury	Pacific	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS05	NA	U13-033	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	H241	SI East Coast	30-May-2013	Timaru	OK
Yes	Hector's dolphin	U13-085 (H247-13)	NA	Blaketown Beach, Greymouth	West Coast	Tasman	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS06	NA	U13-085	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	H247	SI West Coast	7-Dec-2013	Greymouth	OK
NA	Hector's dolphin	U14-126	NA	3 Mile Beach, Hokitika	West Coast	Tasman	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS07	NA	U14-126	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	18-Nov-2014	Hokitika	OK
NA	Hector's dolphin	U14-138	NA	Pakawau Beach, Golden Bay	Tasman	Tasman	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS08	NA	U14-138	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	30-Oct-2014	Golden Bay	OK
NA	Hector's dolphin	U14-150	NA	Kongahu Beach, Karamea	West Coast	Tasman	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS09	NA	U14-150	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	8-Sep-2014	Buller	OK
NA	Hector's dolphin	U15-116	NA	Coopers Lagoon beach, Canterbury	Canterbury	Pacific	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS12	NA	U15-116	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	24-Sep-2015	Canterbury	OK
NA	Hector's dolphin	U15-119	NA	Awatuna Beach, north of Hokitika	Westland	Tasman	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS13	NA	U15-119	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	13-Oct-2015	Hokitika	OK
NA	Hector's dolphin	U16-042	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS14	NA	U16-042	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	13-Jun-2016	Queen Charlotte Sound	OK
NA	Hector's dolphin	U16-043	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	No	NA	TL=74.5cmcalf	NA	U16-043	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	13-Jun-2016	Queen Charlotte Sound	OK
NA	Hector's dolphin	U16-044	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	No	NA	TL=142cm	NA	U16-044	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	13-Jun-2016	Queen Charlotte Sound	OK
NA	Hector's dolphin	U16-045	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	No	NA	TL = 70cmcalf2-3 hectors dolphins observed offshore on 25/11/2017 3.30pmPhotos: Yes	NA	U16-045	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	13-Jun-2016	Queen Charlotte Sound	OK
NA	Hector's dolphin	U16-046	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	No	NA	No stranding sheerSuspected shark attach or scavenging	NA	U16-046	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	13-Jun-2016	Queen Charlotte Sound	OK
NA	Hector's dolphin	U16-047	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	No	NA	TL = 72cmneonate calfeuthanised by vet with bolt technologyno sign of other dolphins in the vicinityPhotos: Yes	NA	U16-047	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	13-Jun-2016	Queen Charlotte Sound	OK
NA	Hector's dolphin	U16-048	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	No	NA	TL = 124.2cmNo obvious net or other marksOther Hectors (6) seen north near Needles Rock	NA	U16-048	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	13-Jun-2016	Queen Charlotte Sound	OK
NA	Hector's dolphin	U16-049	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	No	NA	TL = 140cmSignificant trauma - bite marks, exposing internal orgnas	NA	U16-049	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	13-Jun-2016	Queen Charlotte Sound	OK
NA	Hector's dolphin	U16-051	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	No	NA	NA	NA	U16-051	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	13-Jun-2016	Queen Charlotte Sound	OK
NA	Hector's dolphin	U16-052	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	No	NA	NA	NA	U16-052	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	13-Jun-2016	Queen Charlotte Sound	OK
NA	Hector's dolphin	U16-053	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	No	NA	NA	NA	U16-053	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	14-Jun-2016	Queen Charlotte Sound	OK
NA	Hector's dolphin	U16-054	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	No	NA	possible mixup at DoC re sample coding. Accompanying stranding form refers to 2 samples taken from mass stranding of 15b animals at Tokerau Beach 8 Oct 96, but labels on vials (C1 and C2) indicated sample within was from common dolphin from Ocean Beach 5 Aug 96	Two samples, one disposed	U16-054	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI North Coast	15-Jun-2016	Queen Charlotte Sound	OK
NA	Hector's dolphin	U16-065	NA	Southside Beach, Hokitika	West Coast	Tasman	NA	NA	NA	No	NA	Mucic code: WS97-17Dd	NA	U16-065	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	17-Oct-2016	Hokitika	OK
NA	Hector's dolphin	U16-077	NA	400m north of Okuru, Haast	West Coast	Tasman	NA	Confirmation of species requiredConfirmed as common by cytb sequence	Yes	Yes	Yes	Baby, Umbilical connection obviousfoecal folds still presentConfirmed as common by cytb sequence	NA	U16-077	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	26-Nov-2016	Haast/Jackson Bay	OK
NA	Hector's dolphin	U17-064	NA	Kaitorete Spit, Canterbury	Canterbury	Pacific	NA	NA	NA	No	NA	Mucic code: WS97-06Dd	NA	U17-064	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	3-Sep-2017	Canterbury	OK
NA	Hector's dolphin	U17-083 a+b	NA	Canoe Creek area, south of Burke Road, Greymouth	West Coast	Tasman	NA	NA	NA	No	NA	badly decomposed	NA	U17-083	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	26-Nov-2017	Barrytown/Punakaiki	OK
NA	Hector's dolphin	U17-087	NA	Nine Mile Beach, Westport, Buller	West Coast	Tasman	NA	NA	NA	No	NA	Mucic code: WS97-56Dd (autopsy code 28640)	NA	U17-087	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	13-Dec-2017	Westport	OK
NA	Hector's dolphin	U18-002	NA	Measley Beach/Tokomairiro River Mouth, Otago	Otago	Pacific	NA	NA	NA	No	NA	Mucic code: Ws98-07Dd. TL = 1.8m	NA	U18-002	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	7-Jan-2018	Otago	OK
NA	Maui dolphin	U18-004 a+b	NA	Sunset beach, Port Waikato	Waikato	Tasman	NA	NA	NA	Yes	No	beachcast afer heavy stormTL 1.71mAlso known as ULBayID confirmed cytb seq, Debbie Apr 03	NA	U18-004	NA	NA	Cephalorhynchus hectori maui	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	Maui	21-Jan-2018	Waikato	OK
NA	Hector's dolphin	U18-007	NA	Ure Stream mouth, South Marlborough	Marlborough	Pacific	NA	NA	NA	No	NA	TL 162.5 cm single male, appeared in perfect health	NA	U18-007	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	9-Feb-2018	Marlborough	OK
NA	Maui dolphin	U18-042	NA	Gibson Beach, Te Akau, Waikato	Waikato	Tasman	NA	NA	NA	Yes	NA	Report of a group feeding earlier and then dead dolphin, perhaps juvenile?Also known as UKeriID confirmed cytb seq, Debbie Apr 03	NA	U18-042	NA	NA	Cephalorhynchus hectori maui	NA	NA	NA	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	Maui	30-Sep-2018	Waikato	OK
Yes	Hector's dolphin	Che05NZ20 (H108/05)	NA	neonate stranded on lower NI, Pekapeka Beach, Kapiti Coast	NA	NA	NA	NA	NA	Yes	NA	DecomposedDoC # H142/07	Two samples, one disposed. Massey code: None	CHE05NZ20	NA	Che05NZ20	Cephalorhynchus hectori hectori	NA	NA	beachcast (live strand)	NA	NA	NA	NA	NA	NA	H108/05	NA	NA	WS05-32 Chh	NA	NA	38012	F	Ia	14	no	no	NZCETA had '?' for Date_stranded. This uncertainty seems to be captured in collection_date_mod;Given this individual is a Hector's, have put down SI North Coast for hologenome_region, but this is not certain	H108	SI North Coast	2005	Kapiti	Review during sample selection
Yes	Hector's dolphin	CheMb03-01	NA	South Marlborough	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.foetus in NI21alternate code = massey 29718	NA	CHEMB03-01	NA	CheMb03-01	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	M	Ca	14	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;Fairly sure this sample is SI East Coast, but 'South Malborough' is a little vague	NA	SI East Coast	5-Dec-2003	Marlborough	Review during sample selection
NA	Hector's dolphin	U15-005	NA	Rocks Road, Nelson	Tasman	Tasman	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS10	NA	U15-005	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;Suspect this may be a duplicate of 'U15-006' based on very similar stranding location and collection date	NA	SI North Coast	9-Jan-2015	Nelson	Suspected duplicate
NA	Hector's dolphin	U15-006	NA	Waimea Inlet, Nelson	Tasman	Tasman	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS11	NA	U15-006	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;Suspect this may be a duplicate of 'U15-005' based on very similar stranding location and collection date	NA	SI North Coast	11-Jan-2015	Nelson	Suspected duplicate
